"","speciesCode","comName","sciName","locId","locName","obsDt","howMany","lat","lng","obsValid","obsReviewed","locationPrivate","subId"
"1","elepai","Hawaii Elepaio","Chasiempis sandwichensis","L285813","Pu'u La'au, Palila Discovery Trail and Ka'ohe GMA","2026-07-12 07:36",2,19.8319137,-155.5947653,TRUE,FALSE,FALSE,"S371430804"
"2","elepai","Hawaii Elepaio","Chasiempis sandwichensis","L366605","Pu'u O'o Trail, Kipuka Ainahou section (first 2 miles)","2026-07-11 12:13",3,19.6714434,-155.3849602,TRUE,FALSE,FALSE,"S370887206"
"3","elepai","Hawaii Elepaio","Chasiempis sandwichensis","L73074503","96704, Captain Cook US-HI (19.5592,-155.3035)","2026-07-10 13:10",1,19.559212,-155.303467,TRUE,FALSE,TRUE,"S370421822"
"4","elepai","Hawaii Elepaio","Chasiempis sandwichensis","L695639","Hakalau Forest NWR--Pua Akala Tract (restricted access)","2026-07-10 08:55",12,19.7895,-155.3262,TRUE,FALSE,FALSE,"S370954750"
"5","elepai","Hawaii Elepaio","Chasiempis sandwichensis","L17364582","HI: Pua Akala Tract (19.79, -155.332)","2026-07-09 09:44",1,19.7897338,-155.3321696,TRUE,FALSE,TRUE,"S370025751"
"6","elepai","Hawaii Elepaio","Chasiempis sandwichensis","L285822","Hawaiʻi Volcanoes NP--Kīpuka Puaulu","2026-07-09 07:01",2,19.4405764,-155.3024554,TRUE,FALSE,FALSE,"S369866745"
"7","elepai","Hawaii Elepaio","Chasiempis sandwichensis","L49682227","Puʻu ʻŌʻō Trail--Second Kīpuka","2026-07-05 08:40",6,19.661392,-155.386559,TRUE,FALSE,TRUE,"S368358385"
"8","elepai","Hawaii Elepaio","Chasiempis sandwichensis","L370534","Kaulana Manu Nature Trail (""Kīpuka 21"")","2026-07-04 09:58",2,19.6713676,-155.3679389,TRUE,FALSE,FALSE,"S367688849"
"9","elepai","Hawaii Elepaio","Chasiempis sandwichensis","L72468856","96778, Pahoa US-HI 19.42454, -155.12193","2026-07-04 09:52",1,19.424543,-155.12193,TRUE,FALSE,TRUE,"S367791950"
"10","elepai","Hawaii Elepaio","Chasiempis sandwichensis","L72332919","Far Kipukas","2026-07-03 08:49",4,19.636007,-155.369206,TRUE,FALSE,TRUE,"S367243558"
